driver_name,races,total_points,avg_points,points_std,avg_grid,avg_finish,dnf_rate,avg_grid_vs_finish,consistency_index,efficiency_score,performance_index,roi_proxy,performance_volatility,high_performer_flag,reliable_driver_flag
Oliver Bearman,27,46.0,1.7037037037037037,3.147829714077925,13.481481481481481,11.555555555555555,0.0,1.9259259259259258,0.41074581676322314,0.11764705882352942,0.3874981279640569,1.6428571428571428,3.147829714077925,0,1
Oscar Piastri,70,728.0,10.4,8.443160339691477,5.9,5.814285714285714,0.04285714285714286,0.08571428571428572,1.1013262113412112,1.5072463768115942,0.6033268990764622,10.253521126760564,8.443160339691477,1,1
Pascal Wehrlein,39,6.0,0.15384615384615385,0.6703675950928768,17.384615384615383,11.923076923076923,0.20512820512820512,5.461538461538462,0.09210317195934324,0.008368200836820085,0.3153928075419048,0.15,0.6703675950928768,0,0
Pastor Maldonado,19,27.0,1.4210526315789473,2.3878346647045965,11.842105263157896,5.2105263157894735,0.47368421052631576,6.631578947368421,0.41945749194429965,0.11065573770491802,0.2816855767841269,1.35,2.3878346647045965,0,0
Paul di Resta,1,0.0,0.0,,19.0,0.0,1.0,19.0,,0.0,0.2,0.0,0.0,0,0
Pierre Gasly,178,446.0,2.50561797752809,4.22963340828594,11.01123595505618,9.561797752808989,0.11235955056179775,1.449438202247191,0.4791192387516373,0.2086061739943873,0.3719906589846974,2.4916201117318435,4.22963340828594,0,1
Pietro Fittipaldi,2,0.0,0.0,0.0,18.5,18.0,0.0,0.5,0.0,0.0,0.32588235294117646,0.0,0.0,0,0
Rio Haryanto,12,0.0,0.0,0.0,19.833333333333332,13.666666666666666,0.25,6.166666666666667,0.0,0.0,0.3042156862745098,0.0,0.0,0,0
Robert Kubica,23,1.0,0.043478260869565216,0.20851441405707474,16.0,15.26086956521739,0.08695652173913043,0.7391304347826086,0.03597661754286024,0.002557544757033248,0.3032759724638887,0.041666666666666664,0.20851441405707474,0,0
Roberto Merhi,13,0.0,0.0,0.0,18.23076923076923,14.307692307692308,0.07692307692307693,3.923076923076923,0.0,0.0,0.3350226244343892,0.0,0.0,0,0
Romain Grosjean,117,155.0,1.3247863247863247,2.7600257989457013,12.153846153846153,8.76923076923077,0.24786324786324787,3.3846153846153846,0.35233437099229226,0.10071474983755685,0.3161489749492079,1.3135593220338984,2.7600257989457013,0,0
Sebastian Vettel,161,1480.0,9.192546583850932,8.34005060532482,7.099378881987578,5.53416149068323,0.10559006211180125,1.565217391304348,0.9842073637813274,1.1349693251533743,0.5642746603591932,9.135802469135802,8.34005060532482,1,1
Sergey Sirotkin,21,1.0,0.047619047619047616,0.21821789023599236,16.285714285714285,12.714285714285714,0.14285714285714285,3.5714285714285716,0.03908910548820038,0.0027548209366391185,0.31327984659210223,0.045454545454545456,0.21821789023599236,0,0
Sergio Pérez,207,1397.0,6.748792270531401,6.617473632147918,8.46376811594203,6.8019323671497585,0.0821256038647343,1.6618357487922706,0.8859620126612012,0.7131189382337927,0.5030930977642887,6.716346153846154,6.617473632147918,1,1
Stoffel Vandoorne,42,26.0,0.6190476190476191,1.5452899475720936,15.19047619047619,9.785714285714286,0.19047619047619047,5.404761904761905,0.24321300590454045,0.03823529411764706,0.3324139160614741,0.6046511627906976,1.5452899475720936,0,0
Valtteri Bottas,209,1598.0,7.645933014354067,7.93355793784754,7.373205741626794,6.650717703349282,0.11483253588516747,0.722488038277512,0.8558665055455258,0.9131428571428571,0.5098189031640891,7.609523809523809,7.93355793784754,1,1
Will Stevens,18,0.0,0.0,0.0,16.77777777777778,13.38888888888889,0.16666666666666666,3.388888888888889,0.0,0.0,0.3030718954248366,0.0,0.0,0,0
Yuki Tsunoda,114,108.0,0.9473684210526315,2.10285143649039,12.131578947368421,10.614035087719298,0.14035087719298245,1.5175438596491229,0.30532187584339915,0.0721442885771543,0.32015364561666243,0.9391304347826087,2.10285143649039,0,0
